id,short_code,uuid,product,colorway,size,is_pre_produced,rfid
3655,quLxLNHp,000bd899-e253-4080-85e2-b688a77d4d91,38,,S,0,
1883,xhMKWiRr,001187e5-4f51-410e-981e-7f8051ea651b,4,,M,0,
11078,qoxwKgZB,00154fad-7880-496e-bf49-e8eb28714cde,72,,M,0,
13573,dkDL4oow,0015ac8f-5a38-488a-84b2-77f0fb7ea195,103,,38,0,
12418,9sFJL3Rv,001b7512-9e5a-4896-81c3-885c64a059bb,72,,M,0,
4368,gLTmP7gL,00212c58-d02a-4bf2-b130-43c5c975ec9d,38,,L,0,
828,,00239e74-1ead-4e28-bf6e-fd7d1edddb6a,4,,M,0,
6985,1anKbevq,0028419d-fc6d-4c1a-9235-fb3561f32ec9,66,,XL,0,
5077,xyvQXLQ5,002da409-42d0-4446-a2e1-c37e11e5daae,22,,S,0,
4300,oecJm7WU,0031f0b7-aa5b-4ac7-8ebc-df00e651dc85,38,,L,0,
3003,37TD8gTk,003535d2-64d6-4641-ad79-cf6de3ae8d71,45,,M,0,
13840,98WbRXRZ,003ab131-61f1-4dd1-99d3-23af79d372fd,103,,42,0,
10709,3BGvVPnQ,003d0266-b6f3-4b8a-8543-fa507f1fa458,72,,M,0,
11385,mDvLSMFn,0045ae9d-d617-4d59-b693-079fe3273a28,72,,M,0,
11921,JAv4iFFN,0047036d-587a-4a91-af85-18c6578bbfa5,72,,M,0,
1520,gEYcfqkc,004a161f-a15a-4309-a2d0-a17416bcf212,4,,M,0,
894,,004bc9a2-5212-4812-a806-e98d9272cd67,4,,M,0,
1596,qrY2vEmH,00578eb5-ae46-4b6e-a0f2-8d5d1cafe0c4,4,,M,0,
3920,c7dXc4aG,005aaa03-166c-4c48-9880-37d0085521d7,38,,M,0,
6966,7mj5nP4Z,005ab01c-9057-4383-aca1-a139213f8ff4,66,,XL,0,
730,,0064af70-e14e-4bf1-8240-21603e8e2caa,4,,M,0,
6771,5LvqupJn,0066a17c-e41b-4bc3-a29a-bd5b875afd0e,66,,XL,0,
13057,FHHcpqpg,0073f9f8-ca66-40b8-a7ce-760a57518f62,81,,XXS-XL,0,
25,xhMKWiRR,007b2522-989f-43b2-a7cd-6ef74d403c0d,3,,l,0,
4673,dw9cKZSU,007e35ce-c41b-4191-83dc-816670a796c4,38,,L,0,
1864,8ysxpXiq,00843822-4116-40ee-a2f7-32ac86bf5134,4,,M,0,
4593,TjpyFvc2,00866f96-8722-47ea-82ee-1bb486f0fdb7,38,,L,0,
2060,YiwNDPbg,00907367-3378-4db1-9ef7-b39135a27509,4,,M,0,
5783,2b23Copf,0093cebd-21ee-48ed-a642-f91a8f86f039,66,,M,0,
4894,7kYuusGy,009c9166-c82c-4842-bb11-336af39aba8c,22,,L,0,
6158,n5B8mniF,009d6057-2b98-4249-af8f-a31216d09601,66,,XXL,0,
9758,ofcNhxc1,00a6743c-0cbb-461f-87f9-9b4aff16a437,72,,M,0,
6971,438kQEP6,00a88fac-6596-4be6-8953-68acb37fdf5e,66,,XL,0,
3423,7XoRMuRP,00b4eccc-39e5-4299-a1c1-18715db7c8e6,38,,XS,0,
1142,,00b7bef3-319c-48a6-a68e-c9f1a62e2486,4,,M,0,
2390,XvMGhEu4,00ba4c20-fef1-4cc2-92b1-07c40a2071b1,4,,M,0,
5675,FPePPxwB,00bbde65-ddb5-42d4-a3d5-4200f1b3241d,66,,M,0,
3640,am8kg1tb,00bbe59b-0df6-4afc-9340-18d83efdd557,38,,S,0,
6847,gXv1rj2W,00c921d0-2fbd-483d-8929-975562f03831,66,,XL,0,
1134,,00ceef70-bee4-433e-8f57-f0bdfdd0e8c7,4,,M,0,
12589,EJHWwJ5k,00d23150-db98-4b47-bccc-97f834f8c279,72,,M,0,
10169,ZtvtE1ZQ,00d2d9e3-10b9-4c8a-8cf8-5d15831d09c1,72,,M,0,
4829,86KU9o3o,00d47a89-7f84-4107-ac50-0ad539bf7c9b,22,,M,0,
11379,YzNRsAFu,00ecc97f-2144-4059-b759-7d8a9bfa3e77,72,,M,0,
6888,p5M2fmiQ,010365d0-7399-4828-9263-6982251c5444,66,,XL,0,
9707,Qu83Uf4f,010616db-1346-4b49-b8d8-619961c3e2c0,72,,M,0,
