serial_no;sku_serial_no;sku;label;qr_code
6091;1;men-t-shirt-sku4;circularity.id/zCiYH4gn;https://circularity.id/do7i2cGE
6092;2;men-t-shirt-sku4;circularity.id/qZvgk6eA;https://circularity.id/6RuY4w57
6093;3;men-t-shirt-sku4;circularity.id/xtbfvGGM;https://circularity.id/UyHtfN3V
6094;4;men-t-shirt-sku4;circularity.id/1dEMhJnN;https://circularity.id/5mWR8PjU
6095;5;men-t-shirt-sku4;circularity.id/iTj4vLdd;https://circularity.id/JUyLSfh7
6096;6;men-t-shirt-sku4;circularity.id/W6drGiE1;https://circularity.id/ouYZihDX
6097;7;men-t-shirt-sku4;circularity.id/czLtpMHN;https://circularity.id/DZCvH3gK
6098;8;men-t-shirt-sku4;circularity.id/dykLsAbV;https://circularity.id/S7idokrn
6099;9;men-t-shirt-sku4;circularity.id/AUuBNcQW;https://circularity.id/B9wwyRqn
6100;10;men-t-shirt-sku4;circularity.id/MxRrq5n8;https://circularity.id/ndPVgkfz
6101;11;men-t-shirt-sku4;circularity.id/t89UBTHr;https://circularity.id/2kUvNsAd
6102;12;men-t-shirt-sku4;circularity.id/7m2nt3No;https://circularity.id/vfQ6WuMb
6103;13;men-t-shirt-sku4;circularity.id/PwfPosao;https://circularity.id/Lh79KyJU
6104;14;men-t-shirt-sku4;circularity.id/9zx5MTKC;https://circularity.id/MNWDrAzX
6105;15;men-t-shirt-sku4;circularity.id/TVKbJx4C;https://circularity.id/ZW6ckFCj
6106;16;men-t-shirt-sku4;circularity.id/HL1v3Qz7;https://circularity.id/9J7svVPZ
6107;17;men-t-shirt-sku4;circularity.id/6T54qLKo;https://circularity.id/pdN3a93D
6108;18;men-t-shirt-sku4;circularity.id/qvCaPeZL;https://circularity.id/BhSj6t6E
6109;19;men-t-shirt-sku4;circularity.id/v2MK8pbe;https://circularity.id/dY9ekFft
6110;20;men-t-shirt-sku4;circularity.id/JVfgX3jx;https://circularity.id/fWR7mppo
6111;21;men-t-shirt-sku4;circularity.id/Yv5QJvbd;https://circularity.id/Y7w5KNyn
6112;22;men-t-shirt-sku4;circularity.id/GEMkw2yd;https://circularity.id/EJquiZxQ
6113;23;men-t-shirt-sku4;circularity.id/sfqSNYrP;https://circularity.id/HSZP6y4p
6114;24;men-t-shirt-sku4;circularity.id/CDj73pWE;https://circularity.id/BJ2C9AML
