serial_no;sku_serial_no;sku;label;qr_code
2626;1;women-top-sku2;circularity.id/xVzvC8EV;https://circularity.id/T8QpKC1k
2627;2;women-top-sku2;circularity.id/1TdBDsni;https://circularity.id/cnZdr9mm
2628;3;women-top-sku2;circularity.id/KKrRAdTh;https://circularity.id/KS1vGSVq
2629;4;women-top-sku2;circularity.id/QrzvLkj3;https://circularity.id/pUbYJRGF
2630;5;women-top-sku2;circularity.id/bPS7DYA1;https://circularity.id/HKojFj4i
2631;6;women-top-sku2;circularity.id/3ftxHPPx;https://circularity.id/U8AciZCr
2632;7;women-top-sku2;circularity.id/rMRY7fJv;https://circularity.id/cWcwwkgC
2633;8;women-top-sku2;circularity.id/cYqPrDmp;https://circularity.id/zpbp7GDv
2634;9;women-top-sku2;circularity.id/uYQgqsAu;https://circularity.id/aU8dR4j4
2635;10;women-top-sku2;circularity.id/AuSgEakT;https://circularity.id/ixViqx5j
2636;11;women-top-sku2;circularity.id/ivAAjNfW;https://circularity.id/tet48S6n
2637;12;women-top-sku2;circularity.id/JyLGUCo7;https://circularity.id/uxiWWetT
2638;13;women-top-sku2;circularity.id/jFwazWtY;https://circularity.id/Lk6Bs9Uq
2639;14;women-top-sku2;circularity.id/Z2geWHag;https://circularity.id/zwzfKZTQ
2640;15;women-top-sku2;circularity.id/uWhWWQPq;https://circularity.id/WPrunR5m
2641;16;women-top-sku2;circularity.id/Rquu7Ycx;https://circularity.id/eXiyB8ZE
2642;17;women-top-sku2;circularity.id/L5KWHEHz;https://circularity.id/BGRx4Gf4
2643;18;women-top-sku2;circularity.id/KaRaBCCA;https://circularity.id/E8DhBEg5
2644;19;women-top-sku2;circularity.id/yrWB16mB;https://circularity.id/vgVzEuyA
2645;20;women-top-sku2;circularity.id/YRGo3jd4;https://circularity.id/56zjHsFs
2646;21;women-top-sku2;circularity.id/F59B6V9y;https://circularity.id/uAx7VTgD
2647;22;women-top-sku2;circularity.id/ypr2xxuM;https://circularity.id/KBBjkNqz
2648;23;women-top-sku2;circularity.id/vgFhPqz8;https://circularity.id/NfHA344w
2649;24;women-top-sku2;circularity.id/cj2W3SLP;https://circularity.id/8QQBram3
2650;25;women-top-sku2;circularity.id/ZYDhCxFq;https://circularity.id/ufcXXmwi
2651;26;women-top-sku2;circularity.id/xKE5HHdw;https://circularity.id/q5xjRSm6
2652;27;women-top-sku2;circularity.id/TzsUE5G2;https://circularity.id/xrsSTz5x
2653;28;women-top-sku2;circularity.id/n2eyp718;https://circularity.id/8mHUmVrT
2654;29;women-top-sku2;circularity.id/2rC9emYp;https://circularity.id/BMjzxvZC
2655;30;women-top-sku2;circularity.id/rV8XrzCw;https://circularity.id/TAtqGCnp
2656;31;women-top-sku2;circularity.id/Ufqw58Md;https://circularity.id/AAhWt5Kq
2657;32;women-top-sku2;circularity.id/mWZQeoCH;https://circularity.id/3GsC1AVh
2658;33;women-top-sku2;circularity.id/EAiLQvaC;https://circularity.id/nheBw9Yh
2659;34;women-top-sku2;circularity.id/yAB6bVUG;https://circularity.id/BqJPiAjx
2660;35;women-top-sku2;circularity.id/uCW7JqJR;https://circularity.id/428gNX33
2661;36;women-top-sku2;circularity.id/dyvngE45;https://circularity.id/M3LXfqXn
2662;37;women-top-sku2;circularity.id/XxFVPuH9;https://circularity.id/nQKerXNw
2663;38;women-top-sku2;circularity.id/7Hb7TmpR;https://circularity.id/mnuF5w5G
2664;39;women-top-sku2;circularity.id/ZhN6xHUF;https://circularity.id/rn3uhvu7
2665;40;women-top-sku2;circularity.id/ZbTLtXmG;https://circularity.id/kY178XTf
2666;41;women-top-sku2;circularity.id/c6oN73Ru;https://circularity.id/q1hkTkES
2667;42;women-top-sku2;circularity.id/Jm6HeCrv;https://circularity.id/bvYe7Rbr
